lat, lon,theta,x,y,psi,vel,psi_dot,??,???
35.1950149203,-97.439252220675.239148984,31.6424532177,-52.065564635,-224055.275799,-0.00399896005456,7758.70996057,102008.131298,-102002.734867,-0.887932981516
35.1950149962,-97.439264749580.8543288757,33.961628473,-46.9069668242,-226877.444839,-0.000705241995937,7639.98272605,103405.823088,-103400.584741,-0.0907554714586
35.1950149998,-97.439279641487.609174393,33.2615259296,-50.3886388745,-229666.17782,-2.34312248193E-05,7098.49787868,104787.004829,-104781.778715,-0.00142596276045
35.195015,-97.439292774993.0015971406,33.7530880017,-50.3416285518,-232382.18472,-5.29639700613E-07,6677.15712715,106131.623553,-106126.39781,-1.22599474071E-05
35.195015,-97.439307958599.1496045964,38.886539077,-44.7816030885,-234878.402753,-9.29390244107E-05,9251.09034727,107368.86083,-107363.647447,-0.0114751760731
35.1950150008,-97.4393204673103.247832003,28.4866946411,-38.9687315915,-237599.412611,0.00377092249674,6718.20439872,108716.152073,-108710.259372,0.298903055605
35.1950149966,-97.4393429411104.414954325,32.2541412685,-43.2490025364,-240173.016972,0.00142470292931,6431.2482803,109987.642589,-109981.461323,0.128302669792
35.1950149995,-97.4393566044105.098065309,35.4541679314,-49.6133948276,-242724.35904,0.00037669907215,6682.17534057,111252.298054,-111246.071396,0.0593213365739
35.1950111373,-97.4393767998105.364884223,46.8735234503,-44.9505010737,-245289.129092,8.05948370418E-06,6388.79396082,112518.776492,-112512.544004,0.000275914580045
35.1950100589,-97.439393835105.763509979,54.006490963,-51.1481322792,-247840.145431,1.71645265133E-07,6423.20995502,113783.457685,-113777.225073,7.02479310446E-06
35.195010003,-97.4394109021106.445432593,57.858016579,-59.1297174765,-250351.743575,3.65597986652E-09,7035.01848686,115024.756049,-115018.523435,5.82358381837E-06
35.1950100002,-97.439430506106.695641314,70.9415247378,-57.6521580617,-252921.775982,7.79972577898E-11,6510.45970694,116296.175067,-116289.942453,5.81821766533E-06
35.19501,-97.4394456379107.438486103,75.1757297262,-49.6057645683,-255426.181575,1.20597624789E-12,6977.66052595,117536.079478,-117529.846863,5.81819369315E-06
35.19501,-97.4394647665107.268186364,75.5259746684,-42.1867558053,-257748.327809,1.18512839981E-12,6173.85224119,118682.643483,-118676.410868,5.81819358606E-06
35.19501,-97.4394821283107.886706342,84.0488426381,-50.0888744676,-260523.529145,1.06432793534E-12,6294.9539747,120056.168963,-120049.936349,5.81819358558E-06
35.1950075526,-97.4395019538108.768859792,82.6608534798,-53.0717551601,-262998.635563,1.0732779866E-12,7136.36769776,121278.128732,-121271.896118,5.81819358558E-06
35.1950073131,-97.4395168658108.707827658,75.5067320334,-52.3216780366,-265568.607584,1.14017968747E-12,6349.35887449,122549.827151,-122543.594537,5.81819358558E-06
35.1950073007,-97.4395384742109.258470063,73.7401874004,-53.3143223794,-268075.615641,1.10403495032E-12,6474.7169412,123789.935376,-123783.702761,5.81819358558E-06
35.1950073,-97.439553725109.602839801,74.0132850327,-49.7180330461,-270523.10255,1.12653370386E-12,7645.77176105,125000.620957,-124994.388342,5.81819358558E-06
35.1950073007,-97.4395718375109.981223161,73.053136583,-48.1665102937,-273100.86705,-0.00177728015973,6302.02080354,126275.442147,-126269.233438,-0.395047135336
35.1950050662,-97.4395879103111.703816321,69.4644313004,-42.5754746807,-275537.862516,-0.00190378947682,7291.84160442,127479.677668,-127473.737741,-0.265090008233
35.1950035803,-97.4396041406113.980842519,57.5991343511,-38.7692677712,-277978.300157,-0.00104481655333,7893.4641391,128688.582892,-128682.709777,-0.152499530932
35.1950035077,-97.4396196429116.877348892,49.3241235689,-39.2608695625,-280527.720111,-0.00491568371361,6124.13447833,129950.311687,-129944.71805,-0.928301123786
35.1950035002,-97.4396355957121.034248487,47.1292956288,-44.0458824535,-282813.779047,-0.000734835157359,3964.06781159,131082.47895,-131077.013432,-0.0892007181427
