id, lat, lon, theta, x, y, psi, vel, psi_dot, left_v, right_v, accel
55,35.1949153515,-97.4386445193,0.00811587106991,0.601218356024,-0.00479234789214,-0.00811465184147,0.144345284379,5.16613890366e-21,1.15442254798,1.15442254798,3.15086185765e-06,
56,35.1948909323,-97.4386228016,0.00811587106991,0.629984114327,-0.00502577712932,-0.00811465184147,0.144345284379,-3.02297163839e-18,1.15442254798,1.15442254798,3.15086185765e-06,
57,35.1949041053,-97.4386219024,0.00811587106991,0.658875070569,-0.0052602223265,-0.00811465184147,0.144345284379,3.01754149998e-18,1.15442254798,1.15442254798,3.15086185765e-06,
58,35.1949119573,-97.4386398707,0.00811587106991,0.687714886614,-0.00549425252968,-0.00811465184147,0.144345284379,3.0277396805e-18,1.15442254798,1.15442254798,3.15086185765e-06,
59,35.1949187563,-97.4386240202,0.00811587106991,0.716571305893,-0.00572841746527,-0.00811465184147,0.144345284379,-5.04723272706e-21,1.15442254798,1.15442254798,3.15086185765e-06,
60,35.1949034405,-97.4386204338,0.00811587106991,0.74545239334,-0.00596278257886,-0.00811465184147,0.144345284379,-3.0281921084e-18,1.15442254798,1.15442254798,3.15086185765e-06,
61,35.1949111818,-97.4386336834,0.00811587106991,0.774402840393,-0.00619771053385,-0.00811465184147,0.144345284379,-2.26395173323e-21,1.15442254798,1.15442254798,3.15086185765e-06,
62,35.1949158867,-97.4386273295,0.00811587106991,0.803226043993,-0.00643160592985,-0.00811465184147,0.144345284379,-3.0287934426e-18,1.15442254798,1.15442254798,3.15086185765e-06,
63,35.1949301018,-97.4386470136,0.00811587106991,0.832107539522,-0.00666597435495,-0.00811465184147,0.144345284379,3.03614209736e-18,1.15442254798,1.15442254798,3.15086185765e-06,
64,35.1949298217,-97.4386383723,0.00811587106991,0.861029517945,-0.00690067129185,-0.00811465184147,0.144345284379,3.02968613616e-18,1.15442254798,1.15442254798,3.15086185765e-06,
65,35.1949279387,-97.4386182924,0.00811587106991,0.889815073844,-0.00713426118317,-0.00811465184147,0.144345284379,6.81253324669e-22,1.15442254798,1.15442254798,3.15086185765e-06,
66,35.194923418,-97.4386429498,0.00811587106991,0.918682304924,-0.00736851385469,-0.00811465184147,0.144345284379,-1.29262354825e-21,1.15442254798,1.15442254798,3.15086185765e-06,
67,35.1949294305,-97.4386314408,0.00811587106991,0.947513561726,-0.00760247460106,-0.00811465184147,0.144345284379,-5.00677409789e-21,1.15442254798,1.15442254798,3.15086185765e-06,
68,35.1949269704,-97.4386287529,0.00811587106991,0.976472794938,-0.00783747385424,-0.00811465184147,0.144345284379,-3.03273052122e-18,1.15442254798,1.15442254798,3.15086185765e-06,
69,35.19492656,-97.4386362642,0.00811587106991,1.00527776522,-0.00807122129,-0.00811465184147,0.144345284379,-3.02330833345e-18,1.15442254798,1.15442254798,3.15086185765e-06,
70,35.1949243107,-97.4386264042,0.00811587106991,1.03418321546,-0.00830578410349,-0.00811465184147,0.144345284379,-3.03490482211e-18,1.15442254798,1.15442254798,3.15086185765e-06,
71,35.1949289375,-97.4386152739,0.00811587106991,1.06302064407,-0.00853979493306,-0.00811465184147,0.144345284379,-3.04605862673e-21,1.15442254798,1.15442254798,3.15086185765e-06,
72,35.1949614135,-97.4386121954,0.00811587106991,1.09196377625,-0.00877466352907,-0.00811465184147,0.144345284379,-5.80418717271e-21,1.15442254798,1.15442254798,3.15086185765e-06,
73,35.1949482394,-97.4386102733,0.00811587106991,1.12079639291,-0.00900863531042,-0.00811465184147,0.144345284379,-6.06434636752e-18,1.15442254798,1.15442254798,3.15086185765e-06,
74,35.1949265942,-97.4386247752,0.00811587106991,1.14965801801,-0.0092428424904,-0.00811465184147,0.144345284379,-3.02981258143e-18,1.15442254798,1.15442254798,3.15086185765e-06,
75,35.1949529351,-97.438617981,0.00811587106991,1.17858293654,-0.00947756328579,-0.00811465184147,0.144345284379,-3.03467320445e-18,1.15442254798,1.15442254798,3.15086185765e-06,
76,35.19494716,-97.4386226498,0.00811587106991,1.20745345337,-0.00971184262059,-0.00811465184147,0.144345284379,3.02675123834e-18,1.15442254798,1.15442254798,3.15086185765e-06,
77,35.1949381376,-97.4386075963,0.00811587106991,1.23626316655,-0.00994562854415,-0.00811465184147,0.144345284379,-3.26748193695e-21,1.15442254798,1.15442254798,3.15086185765e-06,
78,35.1949538504,-97.438608923,0.00811587106991,1.26518661056,-0.010180337374,-0.00811465184147,0.144345284379,-7.57020994027e-22,1.15442254798,1.15442254798,3.15086185765e-06,
79,35.1949467141,-97.4386424863,0.00811587106991,1.29401346468,-0.0104142623934,-0.00811465184147,0.144345284379,3.03301345585e-18,1.15442254798,1.15442254798,3.15086185765e-06,
80,35.1949604418,-97.4386310386,0.00811587106991,1.32292892479,-0.0106489064353,-0.00811465184147,0.144345284378,2.08363146022e-21,1.15442254798,1.15442254798,3.15086185765e-06,
81,35.1949477933,-97.4386221107,0.00811587106991,1.35171450815,-0.0108824965494,-0.00811465184147,0.144345284379,-3.03089784959e-18,1.15442254798,1.15442254798,3.15086185765e-06,
82,35.1949452708,-97.4386319256,0.00811587106991,1.38061844408,-0.0111170470745,-0.00811465184147,0.144345284379,3.03016973015e-18,1.15442254798,1.15442254798,3.15086185765e-06,
83,35.1949544834,-97.4385973044,0.00811587106991,1.40940531204,-0.011350647613,-0.00811465184147,0.144345284379,-3.03988191614e-18,1.15442254798,1.15442254798,3.15086185765e-06,
84,35.194967619,-97.4386292318,0.00811587106991,1.4383256176,-0.0115853309749,-0.00811465184147,0.144345284379,1.22313671997e-21,1.15442254798,1.15442254798,3.15086185765e-06,
85,35.1949602593,-97.438624589,0.00811587106991,1.46722706856,-0.0118198613349,-0.00811465184147,0.144345284379,-3.03090166717e-18,1.15442254798,1.15442254798,3.15086185765e-06,
86,35.1949682942,-97.4386395039,0.00811587106991,1.49610303398,-0.0120541848841,-0.00811465184147,0.144345284379,3.03209580844e-18,1.15442254798,1.15442254798,3.15086185765e-06,
87,35.1949415046,-97.4386232185,0.00811587106991,1.52491346174,-0.0122879766064,-0.00811465184147,0.144345284379,-3.03259551389e-18,1.15442254798,1.15442254798,3.15086185765e-06,
88,35.1949518433,-97.4386138606,0.00811587106991,1.55386065406,-0.0125228781498,-0.00811465184147,0.144345284378,-1.51780389839e-21,1.15442254798,1.15442254798,3.15086185765e-06,
89,35.19495466,-97.4386331813,0.00811587106991,1.58263511456,-0.0127563780038,-0.00811465184147,0.144345284379,-3.02865552239e-18,1.15442254798,1.15442254798,3.15086185765e-06,
90,35.1949594981,-97.4386168524,0.00811587106991,1.61157863883,-0.0129912497816,-0.00811465184147,0.14434528438,3.02163647513e-18,1.15442254798,1.15442254798,3.15086185765e-06,
91,35.1949712269,-97.4386212139,0.00811587106991,1.64042346282,-0.0132253206234,-0.00811465184147,0.144345284379,-3.02558531807e-18,1.15442254798,1.15442254798,3.15086185765e-06,
